"","unemployment_rate","percent_poverty","no_health_insurance","ed_percent_highschool","has_internet","percent_single_parent","percent_less_35k","state_county_fips","weighted_unemployment_rate","weighted_percent_poverty","weighted_no_health_insurance","weighted_ed_percent_highschool","weighted_has_internet","weighted_percent_single_parent","weighted_percent_less_35k"
"1822",0.041,0.089,0.108,0.206,0.88,0.064,0.284,35049,0.0141782401524791,0.0411564859590714,0.0302618884275548,-0.0683737959097479,-0.394875885658731,0.0127623854800761,0.138193097005193
"1823",0.109,0.201,0.053,0.08,0.752,0.143,0.577,35051,0.0376933701614689,0.0929489177277906,0.0148507415431519,-0.0265529304503875,-0.337439393199279,0.028515955057045,0.280765552718298
"1824",0.047,0.146,0.082,0.1,0.693,0.085,0.426,35053,0.016253104565037,0.0675151342699374,0.0229766189912916,-0.0331911630629844,-0.310964759956251,0.0169500432157261,0.20728964550779
"1825",0.087,0.136,0.097,0.118,0.818,0.089,0.46,35055,0.0300855339820899,0.0628908100048732,0.0271796590506742,-0.0391655724143216,-0.367055084623684,0.0177476923082308,0.223833889515454
"1826",0.069,0.167,0.06,0.057,0.827,0.104,0.485,35057,0.0238609407444161,0.0772262152265722,0.0168121602375304,-0.0189189629459011,-0.371093587999739,0.0207388764051237,0.235998774815207
"1827",0.027,0.162,0.139,0.055,0.685,0.095,0.49,35059,0.00933688985651065,0.0749140530940402,0.0389481712169455,-0.0182551396846414,-0.307374979177535,0.018944165946988,0.238431751875157
"1828",0.075,0.135,0.082,0.077,0.824,0.056,0.369,35061,0.025935805156974,0.0624283775783668,0.0229766189912916,-0.025557195558498,-0.369747420207721,0.0111670872950666,0.179553707024353
"1829",0.045,0.071,0.031,0.204,0.903,0.055,0.267,36001,0.0155614830941844,0.0328327022819559,0.00868628278939072,-0.0677099726484882,-0.405196505397539,0.0109676750219404,0.129920975001361
"1830",0.049,0.117,0.066,0.103,0.851,0.067,0.35,36003,0.0169447260358897,0.0541045939012512,0.0184933762612835,-0.034186897954874,-0.381862930335886,0.0133606222994547,0.170308394196541
"1831",0.1,0.248,0.086,0.072,0.866,0.055,0.454,36005,0.034581073542632,0.114683241773592,0.0240974296737936,-0.0238976374053488,-0.388593769295978,0.0109676750219404,0.220914317043513
"1832",0.062,0.109,0.042,0.129,0.882,0.06,0.348,36007,0.0214402655964319,0.0504051344891999,0.0117685121662713,-0.0428166003512499,-0.39577333085341,0.0119647363875713,0.169335203372561
"1833",0.055,0.11,0.069,0.088,0.824,0.066,0.369,36009,0.0190195904484476,0.0508675669157063,0.01933398427316,-0.0292082234954263,-0.369747420207721,0.0131612100263285,0.179553707024353
"1834",0.045,0.082,0.051,0.087,0.875,0.057,0.283,36011,0.0155614830941844,0.0379194589735265,0.0142903362019009,-0.0288763118647964,-0.392632272672034,0.0113664995681928,0.137706501593203
"1835",0.061,0.124,0.054,0.097,0.855,0.062,0.388,36013,0.0210944548610055,0.0573416208867962,0.0151309442137774,-0.0321954281710949,-0.383657820725244,0.0123635609338237,0.188799019852166
"1836",0.056,0.095,0.043,0.106,0.888,0.062,0.326,36015,0.0193654011838739,0.04393108051811,0.0120487148368968,-0.0351826328467635,-0.398465666437447,0.0123635609338237,0.158630104308778
